Temp.C	clade	substrate	replicate	SourceRef	Time.hr	Popn_Change	Popn_DataUnit	cst
5	Chryseobacterium balustinum	TSB	1	1	669.879518072289	0.28327571154182	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	646.987951807229	0.283342063907805	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	622.89156626506	0.285151038938362	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	597.590361445783	0.28174611489436	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	574.698795180723	0.273116815086433	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	550.602409638554	0.257534485769164	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	526.506024096385	0.257604330364938	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	502.409638554217	0.245500261917235	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	479.518072289157	0.247305744718002	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	454.21686746988	0.250857342413131	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	431.325301204819	0.235271520866073	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	384.33734939759	0.21975554391479	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	406.024096385542	0.228388335952506	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	359.036144578313	0.221568011175135	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	310.843373493976	0.19214248297538	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	334.939759036145	0.197290029683953	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	261.44578313253	0.159242186135848	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	286.746987951807	0.173081892788546	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	215.66265060241	0.140244456085211	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	238.55421686747	0.152352016762703	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	190.361445783133	0.119448227693382	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	166.265060240964	0.103865898376113	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	142.168674698795	0.0848053081892789	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	119.277108433735	0.0622629649030908	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	95.1807228915663	0.044941505151039	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	71.0843373493976	0.0328374367033352	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	46.9879518072289	0.0189942378208487	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	22.8915662650602	0.00862929980792748	OD_595	2
5	Chryseobacterium balustinum	TSB	1	1	1.4210854715202e-14	0.00521739130434795	OD_595	1
Temp.C	clade	substrate	replicate	SourceRef	Time.hr	Popn_Change	Popn_DataUnit	cst
5	Enterobacter sp	TSB	1	1	669.879518072289	0.566753972411385	OD_595	2
5	Enterobacter sp	TSB	1	1	645.78313253012	0.563345556137594	OD_595	2
5	Enterobacter sp	TSB	1	1	621.686746987951	0.556458878994238	OD_595	2
5	Enterobacter sp	TSB	1	1	598.795180722892	0.553046970490658	OD_595	2
5	Enterobacter sp	TSB	1	1	550.602409638554	0.553186659682207	OD_595	2
5	Enterobacter sp	TSB	1	1	574.698795180723	0.554855945521215	OD_595	2
5	Enterobacter sp	TSB	1	1	526.506024096385	0.553256504277981	OD_595	2
5	Enterobacter sp	TSB	1	1	502.409638554217	0.563761131482452	OD_595	2
5	Enterobacter sp	TSB	1	1	478.313253012048	0.560352715208661	OD_595	2
5	Enterobacter sp	TSB	1	1	453.012048192771	0.570860834642919	OD_595	2
