3,0.15,0.21,0.01
7,0.4,0.01,0.01
13,0.32,0.01,0.01
16,0.48,1,1
19,0.32,0.01,0.01
20,0.48,1,1
21,0.4,0.01,0.01
22,0.32,0.01,0.01
26,0.15,0.21,0.89
27,0.32,0.81,1
29,0.48,1,1
32,0.32,0.01,0.01
34,0,0.01,0.39
36,0.32,0.01,0.01
40,0.15,0.21,0.01
46,0.32,0.01,0.01
48,0.07,0.21,0.01
50,1,1,1
52,0.48,1,1
53,0.48,1,1
56,0.48,1,1
58,0.15,0.21,0.01
61,0.32,0.01,0.01
62,0.48,1,1
66,0.32,0.01,0.01
71,0.32,0.01,0.01
78,0.32,0.01,0.01
79,0.32,0.01,0.01
85,0,0.11,0.14
87,0.07,0.61,0.39
91,0.4,0.01,0.01
98,0,0.11,0.39
102,0.32,0.81,1
104,0.23,0.81,1
111,0.32,0.01,0.01
114,0.4,0.01,0.01
127,0.32,0.01,0.01
132,0.32,0.01,0.01
133,0.32,0.01,0.01
137,0.73,0.01,0.01
139,0.4,0.01,0.01
140,0.32,0.01,0.01
142,0.32,0.01,0.01
143,0.32,0.01,0.01
146,0.32,0.01,0.01
147,0.48,1,1
148,0.32,0.01,0.01
151,0.32,0.01,0.01
155,0.32,0.01,0.01
157,0.15,0.21,0.01
160,1,1,1
163,0.07,0.01,0.39
166,0.32,0.81,1
167,0.15,0.21,0.01
169,1,1,1
170,0.32,0.81,1
173,0.32,0.01,0.01
176,0,0.01,0.01
179,0.48,1,1
180,0.32,0.01,0.01
181,0.32,0.01,0.01
184,0.48,1,1
190,0.15,0.21,0.01
191,0,0.01,0.01
196,0.15,0.21,0.89
200,0.32,0.01,0.01
201,1,1,1
204,0.32,0.01,0.01
207,0.32,0.01,0.01
208,0.32,0.01,0.01
216,0.07,0.01,0.01
225,0.32,0.01,0.01
226,0.32,0.01,0.01
228,0.32,0.01,0.01
232,0.32,0.01,0.01
234,0.32,0.81,1
235,0.32,0.01,0.01
237,0.32,0.01,0.01
238,0.32,0.01,0.01
239,0.73,0.01,0.01
242,0.4,0.01,0.01
244,0.32,0.01,0.01
246,0.15,0.21,0.01
253,0.32,0.01,0.01
257,0.32,0.81,1
259,0.32,0.01,0.01
260,0,0.11,0.14
261,0.32,0.01,0.01
263,0.15,0.21,0.01
266,0.48,1,1
268,0.48,1,1
269,0.32,0.81,1
275,0.32,0.01,0.01
276,0.48,1,1
279,0,0.51,0.39
280,0.32,0.81,1
285,0.32,0.01,0.01
286,1,1,1
287,0.15,0.21,0.01
288,0.32,0.01,0.01
291,0.32,0.01,0.01
297,0,0.01,0.01
298,0.32,0.01,0.01
303,0.32,0.01,0.01
304,0.48,1,1
305,0.4,0.01,0.01
307,0.32,0.01,0.01
308,0.07,0.21,0.01
309,0.32,0.01,0.01
311,1,1,1
318,0.48,1,1
322,0.4,0.01,0.01
324,0.48,1,1
327,0,0.01,0.01
328,0.07,0.11,0.39
330,0.32,0.01,0.01
331,0.15,0.21,0.01
334,0.32,0.01,0.01
337,0.32,0.01,0.01
339,0.4,0.01,0.01
340,0.48,1,1
341,0.32,0.01,0.01
345,0.07,0.21,0.01
346,0.32,0.01,0.01
349,0.32,0.01,0.01
353,0.32,0.01,0.01
354,0.32,0.01,0.01
355,0.48,1,1
358,0.15,0.21,0.01
360,0.32,0.01,0.01
361,0.32,0.01,0.01
362,0.32,0.81,1
363,0.32,0.01,0.01
365,1,1,1
366,0.32,0.01,0.01
370,0.4,0.01,0.01
372,0.32,0.01,0.01
373,0.32,0.01,0.01
378,0.48,1,1
379,0.15,0.21,0.01
381,0.07,0.61,0.39
384,0.32,0.01,0.01
389,0.32,0.81,1
400,0.32,0.01,0.01
401,0.48,1,1
403,0.32,0.01,0.01
406,0.32,0.01,0.01
407,0.4,0.01,0.01
408,0.4,0.01,0.01
410,0.32,0.01,0.01
413,0.32,0.01,0.01
416,0.32,0.81,1
419,0.32,0.01,0.01
420,0.32,0.01,0.01
423,0.07,0.21,0.01
435,0.32,0.01,0.01
436,0.32,0.01,0.01
437,1,1,1
440,0.32,0.01,0.01
441,0.32,0.01,0.01
444,0.07,0.01,0.39
447,0.07,0.01,0.39
463,0.32,0.01,0.01
468,0.32,0.81,1
470,0.32,0.81,1
472,0.32,0.01,0.01
477,0,0.41,0.26
478,0.32,0.01,0.01
480,0.48,1,1
485,0.32,0.01,0.01
487,0.32,0.01,0.01
490,0.32,0.01,0.01
494,0.32,0.01,0.01
496,0,0.11,0.14
501,0.48,1,1
509,0.15,0.21,0.89
520,1,1,1
533,1,1,1
534,0,0.01,0.01
535,0.32,0.01,0.01
539,0.15,0.21,0.01
544,1,1,1
547,0.32,0.01,0.01
551,0,0.01,0.01
552,0.32,0.01,0.01
556,0.48,1,1
557,1,1,1
558,0.4,0.01,0.01
560,0.32,0.01,0.01
561,0.32,0.81,1
562,0.48,1,1
565,0.32,0.01,0.01
575,0.07,0.01,0.39
580,0.32,0.81,1
585,0.32,0.81,1
599,0.07,0.01,0.01
601,0.32,0.81,1
602,0.32,0.01,0.01
609,0.07,0.21,0.01
616,0.32,0.01,0.01
621,1,1,1
623,1,1,1
633,0.32,0.01,0.01
634,0.32,0.01,0.01
635,0.32,0.01,0.01
637,0.32,0.81,1
638,0.32,0.01,0.01
639,0.32,0.01,0.01
642,0.32,0.01,0.01
644,0.48,1,1
645,0.32,0.01,0.01
650,0.32,0.01,0.01
658,0.48,1,1
662,0.15,0.21,0.01
663,0.48,1,1
664,0.32,0.81,1
666,0,0.11,0.14
670,0.32,0.81,1
679,0.32,0.01,0.01
683,0.48,1,1
687,0.32,0.01,0.01
688,0.32,0.01,0.01
693,0.32,0.81,1
695,0.32,0.01,0.01
700,0.32,0.01,0.01
705,0.32,0.01,0.01
709,0.07,0.21,0.01
710,0.48,1,1
713,0.15,0.21,0.01
714,0.32,0.01,0.01
717,0.32,0.81,1
720,0.32,0.01,0.01
722,0.32,0.01,0.01
724,0.32,0.01,0.01
725,0.32,0.01,0.01
726,0.32,0.01,0.01
729,0.32,0.01,0.01
730,0.32,0.01,0.01
732,0.32,0.01,0.01
738,0.32,0.01,0.01
747,0.32,0.01,0.01
750,0.48,1,1
753,0.48,1,1
761,0.32,0.01,0.01
762,0.32,0.01,0.01
763,0.4,0.01,0.01
772,0.32,0.01,0.01
773,0.32,0.01,0.01
774,0.32,0.01,0.01
775,0.07,0.21,0.01
776,0.4,0.01,0.01
780,0.4,0.01,0.01
782,0.4,0.01,0.01
789,0.32,0.01,0.01
791,0.32,0.81,1
795,0.32,0.01,0.01
798,0.32,0.01,0.01
804,0.32,0.01,0.01
806,0.32,0.01,0.01
808,0.32,0.01,0.01
809,1,1,1
811,0.48,1,1
812,0.4,0.01,0.01
814,0.15,0.21,0.01
816,0.48,1,1
817,0.32,0.81,1
818,0.48,1,1
821,0,0.01,0.39
824,0.32,0.81,1
829,0.15,0.21,0.01
831,0.32,0.01,0.01
836,0.32,0.01,0.01
846,0.32,0.01,0.01
848,0.32,0.01,0.01
851,0.32,0.81,1
852,0.73,0.01,0.01
853,0.32,0.01,0.01
854,0.32,0.01,0.01
858,1,1,1
859,0,0.11,0.39
860,0.15,0.21,0.01
865,0.15,0.21,0.01
869,0.4,0.01,0.01
872,0.32,0.01,0.01
873,0.32,0.01,0.01
877,0.48,1,1
879,0.32,0.01,0.01
885,1,1,1
886,0.32,0.01,0.01
887,0.4,0.01,0.01
888,0.32,0.01,0.01
893,0.07,0.21,0.01
894,0.15,0.21,0.01
895,0.4,0.01,0.01
897,1,1,1
900,0.32,0.01,0.01
907,0.48,1,1
909,0.32,0.01,0.01
910,0.32,0.81,1
911,0.32,0.01,0.01
916,0.32,0.01,0.01
917,1,1,1
922,0.32,0.01,0.01
924,0.32,0.01,0.01
927,0.32,0.01,0.01
929,0.32,0.01,0.01
932,0.15,0.21,0.01
933,1,1,1
946,0,0.11,0.14
947,0.15,0.21,0.01
948,0.4,0.01,0.01
949,0.32,0.01,0.01
950,0.07,0.01,0.01
951,0.32,0.01,0.01
952,0.48,1,1
953,0.32,0.01,0.01
954,0.32,0.01,0.01
958,1,1,1
964,0.32,0.01,0.01
966,0.32,0.01,0.01
967,0.32,0.01,0.01
970,0.4,0.01,0.01
971,0.48,1,1
977,0.32,0.01,0.01
982,1,1,1
985,0.48,1,1
986,1,1,1
987,0,0.21,0.01
991,0.07,0.21,0.01
996,0.32,0.81,1
997,0.32,0.01,0.01
1000,1,1,1
1001,0.32,0.01,0.01
1007,0.32,0.01,0.01
1009,0.48,1,1
1012,0.32,0.01,0.01
1013,1,1,1
1014,0.32,0.01,0.01
1017,0.07,0.61,0.39
1018,0.4,0.01,0.01
1021,0.48,1,1
1022,0.32,0.81,1
1023,0.32,0.01,0.01
1031,0.32,0.81,1
1035,0.48,1,1
1036,0.4,0.01,0.01
1038,0.32,0.01,0.01
1043,0.32,0.01,0.01
1052,0.32,0.81,1
1054,0.32,0.01,0.01
1056,0.32,0.01,0.01
1058,0.32,0.01,0.01
1060,0.4,0.01,0.01
1061,0.32,0.01,0.01
1063,0.32,0.81,1
1064,0.07,0.61,0.39
1066,0.48,1,1
1068,0.32,0.01,0.01
1073,0.4,0.01,0.01
1074,0.32,0.01,0.01
1076,1,1,1
1087,0.32,0.01,0.01
1089,0.32,0.01,0.01
1094,0.32,0.01,0.01
1095,0.32,0.01,0.01
1097,0.32,0.01,0.01
1099,0.32,0.01,0.01
1101,0.15,0.21,0.01
1102,0.4,0.01,0.01
1104,0,0.41,0.26
1106,0.32,0.01,0.01
1107,0.07,0.21,0.01
1109,0.32,0.01,0.01
1113,0.32,0.01,0.01
1114,0.32,0.81,1
1115,0.48,1,1
1117,0.32,0.01,0.01
1125,0.32,0.01,0.01
1127,0.48,1,1
1129,0.32,0.01,0.01
1131,0.32,0.01,0.01
1133,0.32,0.01,0.01
1134,0.15,0.21,0.01
1135,0.4,0.01,0.01
1138,0,0.01,0.01
1147,0.32,0.01,0.01
1149,0.32,0.01,0.01
1159,0.32,0.01,0.01
1160,0.4,0.01,0.01
1167,0.32,0.01,0.01
